NumEvaluated,QD-Score,MeanNormFitness,MedianNormFitness,MaxNormFitness,CellsOccupied,PercentOccupied
286,1000,40.0,40.0,40,25,100.0
287,1000,40.0,40.0,40,25,100.0
288,1000,40.0,40.0,40,25,100.0
289,1000,40.0,40.0,40,25,100.0
290,1000,40.0,40.0,40,25,100.0
291,1000,40.0,40.0,40,25,100.0
292,1000,40.0,40.0,40,25,100.0
293,1000,40.0,40.0,40,25,100.0
294,1000,40.0,40.0,40,25,100.0
295,1000,40.0,40.0,40,25,100.0
296,1000,40.0,40.0,40,25,100.0
297,1000,40.0,40.0,40,25,100.0
298,1000,40.0,40.0,40,25,100.0
299,1000,40.0,40.0,40,25,100.0
300,1000,40.0,40.0,40,25,100.0
301,1000,40.0,40.0,40,25,100.0
302,1000,40.0,40.0,40,25,100.0
303,1000,40.0,40.0,40,25,100.0
304,1000,40.0,40.0,40,25,100.0
305,1000,40.0,40.0,40,25,100.0
306,1000,40.0,40.0,40,25,100.0
307,1000,40.0,40.0,40,25,100.0
308,1000,40.0,40.0,40,25,100.0
309,1000,40.0,40.0,40,25,100.0
310,1000,40.0,40.0,40,25,100.0
311,1000,40.0,40.0,40,25,100.0
312,1000,40.0,40.0,40,25,100.0
313,1000,40.0,40.0,40,25,100.0
314,1000,40.0,40.0,40,25,100.0
315,1000,40.0,40.0,40,25,100.0
316,1000,40.0,40.0,40,25,100.0
317,1000,40.0,40.0,40,25,100.0
318,1000,40.0,40.0,40,25,100.0
319,1000,40.0,40.0,40,25,100.0
320,1000,40.0,40.0,40,25,100.0
321,1000,40.0,40.0,40,25,100.0
322,1000,40.0,40.0,40,25,100.0
323,1000,40.0,40.0,40,25,100.0
324,1000,40.0,40.0,40,25,100.0
325,1000,40.0,40.0,40,25,100.0
326,1000,40.0,40.0,40,25,100.0
327,1000,40.0,40.0,40,25,100.0
328,1000,40.0,40.0,40,25,100.0
329,1000,40.0,40.0,40,25,100.0
330,1000,40.0,40.0,40,25,100.0
331,1000,40.0,40.0,40,25,100.0
332,1000,40.0,40.0,40,25,100.0
333,1000,40.0,40.0,40,25,100.0
334,1000,40.0,40.0,40,25,100.0
335,1000,40.0,40.0,40,25,100.0
336,1000,40.0,40.0,40,25,100.0
337,1000,40.0,40.0,40,25,100.0
338,1000,40.0,40.0,40,25,100.0
339,1000,40.0,40.0,40,25,100.0
340,1000,40.0,40.0,40,25,100.0
341,1000,40.0,40.0,40,25,100.0
342,1000,40.0,40.0,40,25,100.0
343,1000,40.0,40.0,40,25,100.0
344,1000,40.0,40.0,40,25,100.0
345,1000,40.0,40.0,40,25,100.0
346,1000,40.0,40.0,40,25,100.0
347,1000,40.0,40.0,40,25,100.0
348,1000,40.0,40.0,40,25,100.0
349,1000,40.0,40.0,40,25,100.0
350,1000,40.0,40.0,40,25,100.0
351,1000,40.0,40.0,40,25,100.0
352,1000,40.0,40.0,40,25,100.0
353,1000,40.0,40.0,40,25,100.0
354,1000,40.0,40.0,40,25,100.0
355,1000,40.0,40.0,40,25,100.0
356,1000,40.0,40.0,40,25,100.0
